"i" "HH" "U" "V"
"2" 40 91.341168862733 85.3167711708594 89.5937004767954
"3" 60 61.7005500332663 56.746596493806 59.8441352438826
"4" 80 44.4854190010416 46.4131675954344 46.3977751986917
"5" 100 40.9207546889879 41.559742032999 40.4599702969143
"6" 120 37.1794118004662 35.0946263104314 34.6837650506635
"7" 140 32.420333335655 32.3929208035688 32.2283909036459
"8" 160 32.0656992618806 30.3388300074208 29.0515961572691
"9" 180 29.3769470155299 27.3380888908506 27.4647348719056
"10" 200 28.5193616720442 26.8416904127197 25.9179228518022
"11" 220 27.1663775900137 24.959302653195 25.8512083656747
"12" 240 25.9981741385197 23.9887794421469 24.2067841155742
"13" 260 24.8687719062478 22.8113998899119 23.9050801116926
"14" 280 23.3710680133524 21.4072982822374 22.1808793117756
"15" 300 23.2581153254091 21.3343164762736 21.8832932157777
"16" 320 21.585309790335 20.4411257489669 22.4938666548167
"17" 340 21.4333162979007 18.8952649476024 21.2201185850031
"18" 360 20.9967074123984 18.8285778510072 21.0142946978589
"19" 380 20.7584711486925 18.0729722235459 20.3310101384338
"20" 400 20.6649048722286 17.6809779361298 20.0508663296981
"21" 420 20.2971096803215 16.331880755413 19.5097717568487
"22" 440 19.7893764716891 16.5315488437029 18.8393898788512
"23" 460 19.6497892604294 15.9597906849722 18.4899260790973
"24" 480 18.9662559961492 14.8530284935252 18.804256187911
"25" 500 18.3760946045624 15.3453040513194 18.5865688145035
"26" 520 18.4105733001025 14.0388898896233 18.3859423455801
"27" 540 17.3863300650451 14.3116922257195 17.2916837350399
"28" 560 17.5115617703933 13.7373382095722 17.5144248192872
"29" 580 16.6647149854064 13.7925296668259 17.6012951569337
"30" 600 17.2608618642641 13.0775918079241 17.6111489034797
"31" 620 16.5294840736394 13.17622755377 16.3890579365436
"32" 640 16.75099652786 13.7461423475541 16.4960651563633
"33" 660 15.8198582862124 12.2241136648588 16.2030439702459
"34" 680 16.1872239561877 12.0827673395569 16.6291933689572
"35" 700 15.8487464876291 11.7467793289685 15.8348685232635
"36" 720 15.6588738968796 11.5628627466178 15.7521727707623
"37" 740 14.2935886363596 11.9733537334586 15.9498731595715
"38" 760 14.8057748272589 11.6471932232372 15.8582168990591
"39" 780 14.4105323404094 11.3400120441838 15.2491804573489
"40" 800 14.9330150207588 10.6265216576403 15.2572619737953
"41" 820 14.4162263660753 10.996926682789 15.1490456497194
"42" 840 14.1424745828256 10.0872356006528 14.2679498062531
"43" 860 13.8063819804443 9.83509222389465 14.618546126385
"44" 880 13.8287371270831 10.3510179828579 14.468951390611
"45" 900 14.2587557945371 9.72996886573764 14.3453872497209
"46" 920 13.5589572502527 9.45551152689458 14.286932165649
"47" 940 12.5784735401395 10.3412329714294 14.1056941173595
"48" 960 13.7565391156486 9.90309779014429 14.0985195916085
"49" 980 13.0935005845676 9.26914790463614 13.9791196502923
"50" 1000 13.1680741417598 9.8261740058523 13.6192035921736
"51" 1020 13.148928729488 8.80442389309985 13.2239632676199
"52" 1040 12.658037092115 9.31385231685375 13.7776255301105
"53" 1060 12.7420088260125 9.26695180652571 13.3282035692795
"54" 1080 12.2808393481336 8.99013274043826 13.3960692278027
"55" 1100 12.5457990569505 8.92595964191414 13.3515368111688
"56" 1120 12.3475348919753 8.58204235160303 13.0696561690695
"57" 1140 12.7734560699571 8.50776165581323 12.6376696564054
"58" 1160 12.1104040906056 8.38541019325771 12.6171265102242
"59" 1180 12.0492210413327 8.22200365249033 12.5295435024013
"60" 1200 12.1289318308608 8.52238373548804 12.4403750484346
"61" 1220 11.5977634823881 8.37440339096028 12.7786588476149
"62" 1240 12.510790892582 8.43104153965031 12.1670855141114
"63" 1260 11.6359314155697 7.81306178315826 12.5146145065609
"64" 1280 11.0600151378484 7.97670467361353 11.98260334758
"65" 1300 11.3412065828247 7.79946554275441 12.3890836758883
"66" 1320 11.6205196646933 7.82216841141137 11.7728298257996
"67" 1340 11.0447730316241 8.09646340275522 12.2636486105406
"68" 1360 11.0968725017695 7.73496305019272 12.4825481761502
"69" 1380 11.1250402634147 7.35468730226063 12.2505212225359
"70" 1400 10.9320588806996 7.49268116080747 11.5488207213843
"71" 1420 10.9088932070776 7.275482306345 11.8573501715047
"72" 1440 10.7483336272869 6.87496202240135 11.7701824128533
"73" 1460 10.6897169439041 7.33574728350029 11.7738669114725
"74" 1480 10.3084523519589 7.41954016726222 11.4242474601934
"75" 1500 10.5402262310466 7.43269956472602 11.1471683850697
"76" 1520 10.4974387447221 7.04493101479974 11.0018372197565
"77" 1540 10.7471170657166 6.91716561080344 11.3469868763322
"78" 1560 10.6215077033475 6.66931449966922 11.318915545624
"79" 1580 10.1053182020562 6.5781042925913 10.7846212427422
"80" 1600 10.1249782232838 7.18971035815323 12.1218052719306
"81" 1620 10.3474860653045 6.56611312433406 10.7719551468802
"82" 1640 9.99586531959421 6.5574478077999 11.2162771404504
"83" 1660 9.94354517080409 6.86301139535543 11.0409951775349
"84" 1680 9.79047542672743 6.26636520577649 10.4097465288852
"85" 1700 9.79389036834584 6.37732624405253 10.779918241163
"86" 1720 9.90263534045142 6.59603106056308 10.9181337726854
"87" 1740 9.2773187717571 6.20518016039813 10.7193909941257
"88" 1760 9.40705194853761 6.32709921694983 10.552102004441
"89" 1780 10.2314201092441 6.42141387365846 10.5650134896
"90" 1800 9.79656162840997 5.71995099252554 10.3468200384443
"91" 1820 9.39307684096803 6.15923258234289 10.2536651347009
"92" 1840 9.30725534396294 6.05086446389951 9.88033039090122
"93" 1860 9.31066265277646 6.07000202516582 10.3565276177563
"94" 1880 9.66876370805462 6.30615773022244 10.419038588465
"95" 1900 9.21182402301449 6.49885323602942 10.3417750688305
"96" 1920 8.73059351625112 6.04912301893809 9.72823878795386
"97" 1940 8.9697923489261 5.99222592706562 9.95595682927347
