intnum,q0,q1a,q1b,q2,q3,f1,f2a,f2b,f3,f4,f5_1,f5_2,f5_3,f5_4,f5_5,f5_6,f5_7,f5_8,f5_9,f5_10,f5_11,f5_12,f5_13,f5_14,f5_15,f5_16,s1,s2,s3,gew
349,2,-99.99,1,1,-99.99,1,100,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
359,2,-99.99,2,1,-99.99,1,150,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
367,2,-99.99,1,1,-99.99,1,300,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
373,1,8,-99.99,1,2,1,10000,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.100399
394,2,-99.99,1,1,-99.99,4,10,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
397,1,3,-99.99,1,1,5,0,-99.99,-99.99,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1.120894
408,2,-99.99,2,1,-99.99,2,130,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
409,2,-99.99,2,1,-99.99,2,10,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
412,2,-99.99,2,1,-99.99,1,1339,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
414,2,-99.99,1,1,-99.99,1,50,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
422,1,7,-99.99,1,1,4,20,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
423,2,-99.99,2,1,-99.99,1,-90,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
432,2,-99.99,2,1,-99.99,1,25,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
433,2,-99.99,2,1,-99.99,1,50,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
436,2,-99.99,2,1,-99.99,1,100,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
443,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
448,1,8,-99.99,1,1,1,100,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.119703
459,2,-99.99,3,1,-99.99,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
470,1,3,-99.99,1,2,4,0,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.062491
482,1,7,-99.99,1,1,1,30,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
491,1,3,-99.99,1,1,2,20,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.120894
